user_id,tweet_id,tweet_creation_date
1371551211351121920,1609401972322443265,2023-01-01T04:11:46.000Z
1191969099624128512,1609402842724421632,2023-01-01T04:15:13.000Z
1189956284688109568,1609403699457138691,2023-01-01T04:18:37.000Z
1518684256347828224,1609403712987873280,2023-01-01T04:18:41.000Z
1281253609988997120,1609404542453682177,2023-01-01T04:21:58.000Z
1489958940377063424,1609404792496963585,2023-01-01T04:22:58.000Z
1174982905728249856,1609406564732964864,2023-01-01T04:30:01.000Z
84175978,1609408190168416256,2023-01-01T04:36:28.000Z
1551060443040325632,1609408483191062530,2023-01-01T04:37:38.000Z
1577882062727413760,1609409284948779009,2023-01-01T04:40:49.000Z
754281382550077440,1609411252194869249,2023-01-01T04:48:38.000Z
16341065,1609411577098428418,2023-01-01T04:49:56.000Z
1371551211351121920,1609412077436665860,2023-01-01T04:51:55.000Z
1364130692075028483,1609412875138867203,2023-01-01T04:55:05.000Z
14976542,1609413097458106374,2023-01-01T04:55:58.000Z
1452160001015910402,1609414712139345921,2023-01-01T05:02:23.000Z
1191969099624128512,1609417951353921536,2023-01-01T05:15:15.000Z
936617133269807104,1609418729850343424,2023-01-01T05:18:21.000Z
1549088953147555840,1609419064346132481,2023-01-01T05:19:41.000Z
3247607322,1609419515468877827,2023-01-01T05:21:28.000Z
1079857493860323329,1609421670611042304,2023-01-01T05:30:02.000Z
1415553024450129921,1609423233408712704,2023-01-01T05:36:15.000Z
70922534,1609423984801742850,2023-01-01T05:39:14.000Z
1041367248139702273,1609424372112015361,2023-01-01T05:40:46.000Z
472853806,1609426983372431360,2023-01-01T05:51:09.000Z
175007074,1609427897386782721,2023-01-01T05:54:47.000Z
1548217655546368000,1609429127366606849,2023-01-01T05:59:40.000Z
1289088884136194048,1609430042324484097,2023-01-01T06:03:18.000Z
1394289269888356359,1609430661512982529,2023-01-01T06:05:46.000Z
1076040160670699520,1609431226472964104,2023-01-01T06:08:00.000Z
3121733025,1609431520044883968,2023-01-01T06:09:10.000Z
51658806,1609432107549589505,2023-01-01T06:11:30.000Z
51658806,1609432146242048006,2023-01-01T06:11:40.000Z
1191969099624128512,1609433041872556032,2023-01-01T06:15:13.000Z
1191969099624128512,1609433059903823872,2023-01-01T06:15:17.000Z
1371551211351121920,1609433298979135488,2023-01-01T06:16:14.000Z
1371551211351121920,1609433803172233216,2023-01-01T06:18:15.000Z
840193038983016449,1609434377691201536,2023-01-01T06:20:32.000Z
88376816,1609435028223848449,2023-01-01T06:23:07.000Z
1555512688905576460,1609435322252955654,2023-01-01T06:24:17.000Z
844554115745230848,1609437007457169409,2023-01-01T06:30:59.000Z
1303846571629576192,1609437553496563712,2023-01-01T06:33:09.000Z
865094478956306432,1609437731247247360,2023-01-01T06:33:51.000Z
1317255963762634752,1609437735428710403,2023-01-01T06:33:52.000Z
1454693735887949827,1609438129051639808,2023-01-01T06:35:26.000Z
287099373,1609438709237047296,2023-01-01T06:37:44.000Z
15798320,1609440359901274114,2023-01-01T06:44:18.000Z
1565280726156804099,1609440825200545797,2023-01-01T06:46:09.000Z
1565280726156804099,1609440845710729216,2023-01-01T06:46:14.000Z
1565069535329144833,1609440953575837696,2023-01-01T06:46:39.000Z
1503743981770973204,1609442297665720320,2023-01-01T06:52:00.000Z
1263679107684073472,1609442872578961409,2023-01-01T06:54:17.000Z
1369904498890657798,1609443376478261249,2023-01-01T06:56:17.000Z
1459829084318482434,1609444145185136640,2023-01-01T06:59:20.000Z
1459829084318482434,1609444170984292352,2023-01-01T06:59:27.000Z
1068635413089263616,1609444485930553345,2023-01-01T07:00:42.000Z
1496310388555763714,1609447122792849408,2023-01-01T07:11:10.000Z
1345319606802640896,1609447272164560896,2023-01-01T07:11:46.000Z
910516924576096261,1609447413827178497,2023-01-01T07:12:20.000Z
1531384524256514048,1609447551094214656,2023-01-01T07:12:52.000Z
1275263857980616705,1609447569389748224,2023-01-01T07:12:57.000Z
1466468672269168641,1609447736939810818,2023-01-01T07:13:37.000Z
1191969099624128512,1609448163735117825,2023-01-01T07:15:18.000Z
1598738260855066624,1609448779345690627,2023-01-01T07:17:45.000Z
322278613,1609449225451933697,2023-01-01T07:19:32.000Z
3229980963,1609449342540161025,2023-01-01T07:20:00.000Z
79104500,1609449771630227456,2023-01-01T07:21:42.000Z
1496310388555763714,1609450536947924992,2023-01-01T07:24:44.000Z
1605509758953193473,1609451267138662402,2023-01-01T07:27:38.000Z
1371551211351121920,1609451497749610496,2023-01-01T07:28:33.000Z
1371551211351121920,1609452001947013121,2023-01-01T07:30:34.000Z
235887685,1609452955916242945,2023-01-01T07:34:21.000Z
1164155394090000384,1609453350076178434,2023-01-01T07:35:55.000Z
4157353667,1609454245266460675,2023-01-01T07:39:28.000Z
1483440450405289985,1609454641691099136,2023-01-01T07:41:03.000Z
222005191,1609454958344019968,2023-01-01T07:42:18.000Z
1518281938330701824,1609455857754079233,2023-01-01T07:45:53.000Z
904233170999984128,1609456838147444736,2023-01-01T07:49:47.000Z
620157292,1609457542777966594,2023-01-01T07:52:35.000Z
1231873628016242689,1609457649917251586,2023-01-01T07:53:00.000Z
1519951648990593024,1609457685413662720,2023-01-01T07:53:09.000Z
1271147717679513601,1609458176541315072,2023-01-01T07:55:06.000Z
1602557548519100416,1609458197311680512,2023-01-01T07:55:11.000Z
1281685009368260608,1609458810598428672,2023-01-01T07:57:37.000Z
1371551211351121920,1609461109441839104,2023-01-01T08:06:45.000Z
116661436,1609461367555391488,2023-01-01T08:07:47.000Z
2443941850,1609461926580391936,2023-01-01T08:10:00.000Z
2443941850,1609462212153810948,2023-01-01T08:11:08.000Z
270388830,1609463227221528577,2023-01-01T08:15:10.000Z
1191969099624128512,1609463268610818049,2023-01-01T08:15:20.000Z
1189956284688109568,1609464097141133312,2023-01-01T08:18:37.000Z
1549345570375905280,1609464477979914242,2023-01-01T08:20:08.000Z
1412669107275718656,1609466314506080256,2023-01-01T08:27:26.000Z
95859603,1609467385861242880,2023-01-01T08:31:41.000Z
741271117,1609467727294472192,2023-01-01T08:33:03.000Z
95859603,1609467830046531584,2023-01-01T08:33:27.000Z
1276323151937449984,1609467998947139586,2023-01-01T08:34:08.000Z
411419084,1609471495469928450,2023-01-01T08:48:01.000Z
709564705304498176,1609471503338201088,2023-01-01T08:48:03.000Z
595054024,1609472059176013826,2023-01-01T08:50:16.000Z
1488167524084719622,1609472107561291776,2023-01-01T08:50:27.000Z
1074114207560257536,1609472127799005186,2023-01-01T08:50:32.000Z
1371551211351121920,1609472729274630145,2023-01-01T08:52:55.000Z
1044692429117558784,1609473328787427330,2023-01-01T08:55:18.000Z
1269358459977437184,1609473688205656064,2023-01-01T08:56:44.000Z
139261738,1609473781013045251,2023-01-01T08:57:06.000Z
1720858015,1609474172488679425,2023-01-01T08:58:39.000Z
2749537619,1609474169900797953,2023-01-01T08:58:39.000Z
537315636,1609474370782564352,2023-01-01T08:59:27.000Z
108051742,1609474667126849536,2023-01-01T09:00:37.000Z
1609180689190064136,1609474994337185792,2023-01-01T09:01:55.000Z
896057234,1609476638248411139,2023-01-01T09:08:27.000Z
1253873859964608517,1609477031309475840,2023-01-01T09:10:01.000Z
