source_user_id,target_user_id
794168474138353664,3208239154
334220117,35391464
1521341448389423106,1521341448389423106
26751288,235919295
4779098569,231033118
1476323510893125636,1415324327113805830
1476323510893125636,1519355944735490052
790154363603865601,2544501210
1609445540139253760,1485689970593468416
1539227462403506177,1539227462403506177
21855007,21855007
969834639337644032,1603250511888932864
969834639337644032,780812842584854528
1043157987471380486,37794688
68433676,68433676
1403861754808049666,123287597
1403861754808049666,1109544277196054533
252594361,252594361
411743553,2515472100
1576344056229134339,1576344056229134339
1574776075351392256,1574776075351392256
1218334852640051200,1218334852640051200
1490360413,280498048
1163939076090880000,16153562
1396737644944633857,1517796456949817347
1363694707218423814,4876039539
890767859143540736,890767859143540736
1481666681042841605,1309548880078548992
1105511850161176581,1105511850161176581
109064246,941904534506541056
1477335769492738053,1033315094539776002
1105511850161176581,1358893027285204996
877516907414532097,428813012
1563378689982996480,1373390714931920896
1584662053972762624,146332525
1584662053972762624,1498425465123524608
1476323510893125636,1415997802321256453
1476323510893125636,1033315094539776002
1470389558336389120,1470389558336389120
877895477710135296,64355384
1326370491368615936,1001939790
1600471668820004865,1600471668820004865
1108629808458588166,1475954105738801153
1464142205636034564,1464142205636034564
1067383436451680256,1067383436451680256
1608430361951748096,1608430361951748096
1404297257067835392,757327643826094080
1560310591146827777,726902323
3396828819,791894889587965953
2306213336,2306213336
1403861754808049666,73624511
3396828819,3512757083
3396828819,121123109
787009663120314368,1506274530725040128
1149280207372804096,38567957
1537810671009767425,612910827
862846244,994657333560119296
1434147614484844551,1406590750117203973
1331144056370581504,1406590750117203973
1071642779854364672,1271431937895219201
1403861754808049666,1217160654420938758
1494515471034503182,1494515471034503182
1593855358790877206,1593855358790877206
1296239665377206273,1406590750117203973
1539031819932377089,112684779
1014819282226728963,134206307
840654588642451460,1685992430
1264433760,130344472
828804230,828804230
1356984385979904000,18839785
1958500562,1412144879443058697
806354515,2811086486
1403861754808049666,1086932437106651136
1584858816134320128,19760270
1512737329458278404,1586371754
1221109638126604293,1221109638126604293
1476323510893125636,974317246888710145
1476323510893125636,1074501767637950469
1476323510893125636,1164460518049906695
1476323510893125636,1353384573435056128
1607101773004546049,1445929509916717057
805575175303405568,1609991795009527809
805575175303405568,1531018549665333249
237810343,340466229
100465580,100465580
29455588,29455588
351536658,4758531612
1396737644944633857,2589423217
1396737644944633857,1513315065855893505
1396737644944633857,1415997802321256453
1481534740599508992,110388353
1396737644944633857,4876039539
