source_user_id,target_user_id,tweet_id
1079579727570952197,1482230417583644673,1609338695374733314
1079579727570952197,88842589,1609338695374733314
16060248,1403861754808049666,1609339028989673476
1336660338289340416,3396828819,1609340258868686850
2385598159,1217483034888458240,1609340607385714690
16060248,1403861754808049666,1609342160566116353
1191969099624128512,1097078320259305472,1609342497817333762
1191969099624128512,1609335341718335488,1609342511520022528
1189956284688109568,1354157107457765377,1609343302741987328
1280437090644365312,1354157107457765377,1609343374066073604
50013926,1403861754808049666,1609343492446101505
2385652268,1403861754808049666,1609343545315414016
1282733077,1403861754808049666,1609344354652491776
1364130692075028483,1403861754808049666,1609344372528615426
2838217211,1126753851975979008,1609344487007944707
977507109473484800,68433676,1609345296152109063
977507109473484800,68433676,1609345317681389568
87162167,68433676,1609347188164857857
1316583760926838785,1004978042,1609347579208400898
465877333,68433676,1609349515152183296
1160719525567979520,1539497663204315137,1609349585436123137
827735427633147904,68433676,1609349873832427521
1084190284379049989,68433676,1609350948085702657
794168474138353664,3208239154,1609352886848458757
794168474138353664,3120131278,1609352886848458757
794168474138353664,1301074474335232002,1609352886848458757
794168474138353664,723289388009021440,1609352886848458757
794168474138353664,22756947,1609352886848458757
794168474138353664,3374081452,1609352886848458757
36032128,1403861754808049666,1609352910944731138
36032128,1403861754808049666,1609352971049132036
71287915,1062046718420795393,1609353239354286080
1191969099624128512,345673106,1609357543964577792
1483440450405289985,1551994418533543936,1609359522111590400
1297919681529929729,1107557532824932352,1609362395897692161
1371551211351121920,345673106,1609363072262586368
790235100180983808,68433676,1609364738311331843
1371551211351121920,1315441039369363461,1609365598047289344
80800571,15221598,1609365779132080130
983290976373526528,1480441703429402626,1609365805606801408
1465977386613182464,68433676,1609366533704122371
1299149569150849024,1107948885501231109,1609367061460910082
2984376936,68433676,1609367109007458306
2984376936,2984376936,1609367109007458306
1415553024450129921,2984376936,1609367272023269377
333539065,3300290323,1609367312691249154
1609335341718335488,1609335341718335488,1609368051996295169
1371551211351121920,2984376936,1609368127875203075
1371551211351121920,68433676,1609368632416419842
1511590589405536259,2984376936,1609368855897427968
1415553024450129921,2984376936,1609369307510706176
893940623304216576,2984376936,1609369897989029888
334220117,35391464,1609370050518982660
55863845,334220117,1609370154621702144
928368301755064320,2984376936,1609370384461176833
401938961,709632914452041729,1609371501849120768
1191969099624128512,2984376936,1609372644012429312
486154766,487531221,1609372718553763840
1565280726156804099,2984376936,1609373145768534016
1269107130776223745,68433676,1609373368314396672
1269107130776223745,2984376936,1609373368314396672
1249601030502756353,1403861754808049666,1609375005418328064
1249601030502756353,1403861754808049666,1609375057117343746
1249601030502756353,1403861754808049666,1609375115166482432
1547981385863815181,1479425448568307712,1609376334718828547
1511590589405536259,1269107130776223745,1609376396517822465
1521341448389423106,1586371754,1609378035186413568
893940623304216576,1269107130776223745,1609378858851094529
1371551211351121920,1269107130776223745,1609380258142191618
151097757,15066876,1609381688907276290
1079857493860323329,1403861754808049666,1609381817785671681
42802401,15066876,1609381882097016832
1371551211351121920,15066876,1609382278378946564
190695824,23832360,1609382786267234305
191154754,1403861754808049666,1609383844603387905
1669303362,41514883,1609384822526595072
1601401554132770816,1457551325600772099,1609386235700858881
608888497,379304303,1609386895020097536
1531384524256514048,2444237406,1609387072279777281
1275263857980616705,2444237406,1609387131775979522
1191969099624128512,379304303,1609387742823055361
1191969099624128512,23832360,1609387836360331265
97340237,1204098331,1609390399293988866
897231920139968512,1165196150170955777,1609391142973448193
1371551211351121920,1165196150170955777,1609392380305674240
1371551211351121920,23832360,1609392884419026944
1558282716939841538,849455943893090304,1609393586378006530
992943418052460544,2984376936,1609393752862298113
111104803,1315441039369363461,1609394342782971905
15798320,779429942425628672,1609395061707390976
924564526279864322,353595458,1609395249943830528
1091929787206193152,124945570,1609395799158566913
1371551211351121920,124945570,1609395914195476482
1371551211351121920,874394695,1609396418996756480
1587999654599335937,1403861754808049666,1609398090376613890
1012717624185278464,1403861754808049666,1609399756119486464
703082981439709184,1403861754808049666,1609399847739686913
703082981439709184,1403861754808049666,1609399876886073345
703082981439709184,1403861754808049666,1609399903075049472
1345329511605415936,1413749149812461568,1609400040585564160
703082981439709184,1403861754808049666,1609400211381575681
1345329511605415936,1413749149812461568,1609400476696711170
1451161843494371330,865814266082762752,1609401299069726723
802079589329580033,858287027074117633,1609401782349987840
1371551211351121920,1483287950032998403,1609401972322443265
1191969099624128512,1483287950032998403,1609402842724421632
1189956284688109568,1243178348282445825,1609403699457138691
1518684256347828224,68433676,1609403712987873280
1281253609988997120,1483287950032998403,1609404542453682177
1489958940377063424,1552545964333961217,1609404792496963585
1174982905728249856,68433676,1609406564732964864
84175978,260928758,1609408190168416256
820359116212142081,16438170,1609408341234556930
820359116212142081,1436064790661763077,1609408341234556930
1551060443040325632,1509360672517550084,1609408483191062530
1577882062727413760,1509360672517550084,1609409284948779009
26751288,235919295,1609410213651828738
754281382550077440,1485962870496145409,1609411252194869249
16341065,1403861754808049666,1609411577098428418
1371551211351121920,1262313773303545856,1609412077436665860
1364130692075028483,1262313773303545856,1609412875138867203
14976542,1403861754808049666,1609413097458106374
1452160001015910402,1480441703429402626,1609414712139345921
379179094,3300290323,1609416640541741057
1191969099624128512,1262313773303545856,1609417951353921536
952141113632149505,3241784956,1609418314899390464
952141113632149505,1587021451185586176,1609418314899390464
952141113632149505,1602312767746314240,1609418314899390464
952141113632149505,18667838,1609418314899390464
952141113632149505,936617133269807104,1609418314899390464
952141113632149505,989962178794082309,1609418314899390464
936617133269807104,952141113632149505,1609418729850343424
1549088953147555840,1479425448568307712,1609419064346132481
3247607322,1285429928427757568,1609419515468877827
17891624,18981482,1609420134170370048
17891624,1136152007058829315,1609420134170370048
4779098569,231033118,1609421235863314436
4779098569,18839785,1609421235863314436
1079857493860323329,1403861754808049666,1609421670611042304
1415553024450129921,1403861754808049666,1609423233408712704
1476323510893125636,1415324327113805830,1609423296919142400
70922534,1087335055154851841,1609423984801742850
1476323510893125636,1519355944735490052,1609423996121976832
1041367248139702273,1562902989517467649,1609424372112015361
741343590,5120691,1609426263193550848
472853806,2665207585,1609426983372431360
175007074,1403861754808049666,1609427897386782721
1548217655546368000,1479425448568307712,1609429127366606849
1289088884136194048,1392933587146743808,1609430042324484097
1394289269888356359,1394110787023560707,1609430661512982529
