tweet_id,type,creation_date,date
1609338695374733314,quoted,2023-01-01 00:00:19+00:00,2023-01-01
1609339028989673476,retweeted,2023-01-01 00:01:39+00:00,2023-01-01
1609340258868686850,retweeted,2023-01-01 00:06:32+00:00,2023-01-01
1609340607385714690,retweeted,2023-01-01 00:07:55+00:00,2023-01-01
1609340826056036357,tweet,2023-01-01 00:08:47+00:00,2023-01-01
1609340979076829185,tweet,2023-01-01 00:09:24+00:00,2023-01-01
1609341130352594947,tweet,2023-01-01 00:10:00+00:00,2023-01-01
1609342160566116353,retweeted,2023-01-01 00:14:05+00:00,2023-01-01
1609342497817333762,retweeted,2023-01-01 00:15:26+00:00,2023-01-01
1609342511520022528,retweeted,2023-01-01 00:15:29+00:00,2023-01-01
1609343302741987328,retweeted,2023-01-01 00:18:38+00:00,2023-01-01
1609343374066073604,retweeted,2023-01-01 00:18:55+00:00,2023-01-01
1609343492446101505,retweeted,2023-01-01 00:19:23+00:00,2023-01-01
1609343545315414016,retweeted,2023-01-01 00:19:36+00:00,2023-01-01
1609344097336307712,tweet,2023-01-01 00:21:47+00:00,2023-01-01
1609344354652491776,retweeted,2023-01-01 00:22:48+00:00,2023-01-01
1609344372528615426,retweeted,2023-01-01 00:22:53+00:00,2023-01-01
1609344487007944707,retweeted,2023-01-01 00:23:20+00:00,2023-01-01
1609344824708300801,tweet,2023-01-01 00:24:41+00:00,2023-01-01
1609345296152109063,retweeted,2023-01-01 00:26:33+00:00,2023-01-01
1609345317681389568,retweeted,2023-01-01 00:26:38+00:00,2023-01-01
1609345665561247744,tweet,2023-01-01 00:28:01+00:00,2023-01-01
1609347188164857857,retweeted,2023-01-01 00:34:04+00:00,2023-01-01
1609347579208400898,retweeted,2023-01-01 00:35:37+00:00,2023-01-01
1609349223736123393,tweet,2023-01-01 00:42:09+00:00,2023-01-01
1609349515152183296,retweeted,2023-01-01 00:43:19+00:00,2023-01-01
1609349585436123137,retweeted,2023-01-01 00:43:36+00:00,2023-01-01
1609349873832427521,retweeted,2023-01-01 00:44:44+00:00,2023-01-01
1609350196613517312,tweet,2023-01-01 00:46:01+00:00,2023-01-01
1609350948085702657,retweeted,2023-01-01 00:49:00+00:00,2023-01-01
1609352886848458757,replied_to,2023-01-01 00:56:43+00:00,2023-01-01
1609352910944731138,retweeted,2023-01-01 00:56:48+00:00,2023-01-01
1609352971049132036,retweeted,2023-01-01 00:57:03+00:00,2023-01-01
1609353239354286080,retweeted,2023-01-01 00:58:07+00:00,2023-01-01
1609356504452284418,tweet,2023-01-01 01:11:05+00:00,2023-01-01
1609357543964577792,retweeted,2023-01-01 01:15:13+00:00,2023-01-01
1609359389248614402,tweet,2023-01-01 01:22:33+00:00,2023-01-01
1609359522111590400,retweeted,2023-01-01 01:23:05+00:00,2023-01-01
1609362395897692161,retweeted,2023-01-01 01:34:30+00:00,2023-01-01
1609363072262586368,retweeted,2023-01-01 01:37:11+00:00,2023-01-01
1609364353748189187,tweet,2023-01-01 01:42:17+00:00,2023-01-01
1609364738311331843,retweeted,2023-01-01 01:43:48+00:00,2023-01-01
1609364959229616129,tweet,2023-01-01 01:44:41+00:00,2023-01-01
1609365598047289344,retweeted,2023-01-01 01:47:13+00:00,2023-01-01
1609365779132080130,retweeted,2023-01-01 01:47:56+00:00,2023-01-01
1609365805606801408,retweeted,2023-01-01 01:48:03+00:00,2023-01-01
1609366533704122371,retweeted,2023-01-01 01:50:56+00:00,2023-01-01
1609367061460910082,retweeted,2023-01-01 01:53:02+00:00,2023-01-01
1609367109007458306,tweet,2023-01-01 01:53:14+00:00,2023-01-01
1609367272023269377,retweeted,2023-01-01 01:53:52+00:00,2023-01-01
1609367312691249154,tweet,2023-01-01 01:54:02+00:00,2023-01-01
1609368051996295169,retweeted,2023-01-01 01:56:58+00:00,2023-01-01
1609368127875203075,retweeted,2023-01-01 01:57:16+00:00,2023-01-01
1609368632416419842,retweeted,2023-01-01 01:59:17+00:00,2023-01-01
1609368855897427968,retweeted,2023-01-01 02:00:10+00:00,2023-01-01
1609369307510706176,retweeted,2023-01-01 02:01:58+00:00,2023-01-01
1609369406131273729,tweet,2023-01-01 02:02:21+00:00,2023-01-01
1609369897989029888,retweeted,2023-01-01 02:04:18+00:00,2023-01-01
1609370050518982660,replied_to,2023-01-01 02:04:55+00:00,2023-01-01
1609370154621702144,retweeted,2023-01-01 02:05:20+00:00,2023-01-01
1609370384461176833,retweeted,2023-01-01 02:06:14+00:00,2023-01-01
1609371501849120768,retweeted,2023-01-01 02:10:41+00:00,2023-01-01
1609371534736478208,tweet,2023-01-01 02:10:49+00:00,2023-01-01
1609372644012429312,retweeted,2023-01-01 02:15:13+00:00,2023-01-01
1609372718553763840,retweeted,2023-01-01 02:15:31+00:00,2023-01-01
1609373145768534016,retweeted,2023-01-01 02:17:13+00:00,2023-01-01
